Species,Species_modified_from_WAHIS_FAO,host_class,host_order,host_family,host_gen_sp
Secretary bird (Sagittarius serpentarius),Secretary_bird,Aves,Accipitriformes,Sagittariidae,Sagittarius serpentarius
Silver Teal (Anas versicolor),Silver_Teal,Aves,Anseriformes,Anatidae,Anas versicolor
Snowy Owl (Bubo scandiacus),Snowy_Owl,Aves,Strigiformes,Strigidae,Bubo scandiacus
sparrow,sparrow,Aves,Passeriformes,Passeridae,
Spot-billed Duck:Anas poecilorhyncha(Anatidae),Spot-billed_Duck,Aves,Anseriformes,Anatidae,Anas poecilorhyncha
Spotted dove,Spotted_dove,Aves,Columbiformes,Columbidae,
Spotted eagle-owl (Bubo africanus),Spotted_eagle-owl,Aves,Strigiformes,Strigidae,Bubo africanus
Starling,Starling,Aves,Passeriformes,Sturnidae,
stone marten,stone_marten,Mammalia,Carnivora,Mustelidae,
stork,stork,Aves,Ciconiiformes,Ciconiidae,
Strigidae,Strigidae,Aves,Strigiformes,Strigidae,
swallow,swallow,Aves,Passeriformes,Hirundinidae,
Swan,Swan,Aves,Anseriformes,Anatidae,
Swift tern (Thalasseus bergii),Swift_tern,Aves,Charadriiformes,Laridae,Thalasseus bergii
swine,swine,Mammalia,Artiodactyla,Suidae,
Teal,Teal,Aves,Anseriformes,Anatidae,
tern,tern,Aves,Charadriiformes,Laridae,
Thrush (Turdidae),Thrush,Aves,Passeriformes,Turdidae,
Tiger (Panthera tigris),Tiger,Mammalia,Carnivora,Felidae,Panthera tigris
turkey,turkey,Aves,Galliformes,Phasianidae,Meleagris gallopavo
umbrella cockatoo,umbrella_cockatoo,Aves,Psittaciformes,Cacatuidae,
Undetermined,Undetermined,Undetermined,Undetermined,,
Unspecified bird,Unspecified_bird,Aves,Undetermined,,
Unspecified env. sample,Unspecified_env._sample,Undetermined,Undetermined,,
unspecified mammal,unspecified_mammal,Mammalia,Undetermined,,
vulture,vulture,Aves,Accipitriformes,,
Wader,Wader,Aves,Charadriiformes,,
Water hen,Water_hen,Aves,Gruiformes,Rallidae,
White tailed eagle (Haliaeetus albicilla),White_tailed_eagle,Aves,Accipitriformes,Accipitridae,Haliaeetus albicilla
White-winged black tern (Chlidonias leucopterus),White-winged_black_tern,Aves,Charadriiformes,Laridae,Chlidonias leucopterus
wigeon,wigeon,Aves,Anseriformes,Anatidae,Mareca penelope
Wild turkey (Meleagris gallopavo),Wild_turkey,Aves,Galliformes,Phasianidae,Meleagris gallopavo
Wood Duck,Wood_Duck,Aves,Anseriformes,Anatidae,Aix sponsa
Wood sandpiper,Wood_sandpiper,Aves,Charadriiformes,Scolopacidae,
Yellow-billed duck (Anas undulata),Yellow-billed_duck,Aves,Anseriformes,Anatidae,Anas undulata
Shy albatross,Shy_albatross,Aves,Procellariformes,Diomedeidae,
,Oriental magpie-robin,Aves,Passeriformes,Muscicapidae,Copsychus_saularis
,European_bee-eater,Aves,Coraciiformes,Meropidae,Merops apiaster
,Common moorhen,Aves,Gruiformes,Rallidae,Gallinula_chloropus
,Eurasian jay,Aves,Passeriformes,Corvidae,Garrulus_glandarius
,great_tit,Aves,Passeriformes,Paridae,Parus major
,harrier,Aves,Accipitriformes,Accipitridae,
,Hoabara bustard,Aves,Otidiformes,Otididae,Chlamydotis undulata
,Japanese_white-eye,Aves,Passeriformes,Zosteropidae,
,Great knot,Aves,Charadriiformes,Scolopacidae,
,knot_wader,Aves,Charadriiformes,Scolopacidae,
,European herring gull,Aves,Charadriiformes,Laridae,Larus_argentatus
,black-headed gull,Aves,Charadriiformes,Laridae,Larus_ridibundus
,Siberian blue robin,Aves,Passeriformes,Muscicapidae,Luscinia_cyane
