Year,Semester,World_region,Country,Administrative_Division,Disease,Serotype_Subtype_Genotype,Animal_Category,Species,Outbreak_id,New_outbreaks,Susceptible,Cases,Killed_and_disposed_of,Slaughtered,Deaths,Vaccinated
2022,Jan-Jun 2022,Europe,Netherlands,Ridderkerk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,101079,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Rijnwaarden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,97801,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Rijnwoude,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Phasianidae (unidentified),103378,1,"1,181",25,"1,176",0,5,0
2022,Jan-Jun 2022,Europe,Netherlands,Roerdalen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97753,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Roggel en Neer,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Great Blue Heron,101627,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Rotterdam,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Black-headed Gull,95640,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Rotterdam,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),97811,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Rotterdam,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Great black-backed Gull,95502,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Schermer,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,96095,1,"169,160",70,"169,140",0,20,0
2022,Jan-Jun 2022,Europe,Netherlands,Schiedam,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Black-headed Gull,95463,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Schipluiden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,97819,1,-,1,0,0,1,0
